iter	Passed	Remaining
0	30	30081
1	56	28001
2	80	26895
3	106	26548
4	131	26194
5	157	26167
6	183	25960
7	208	25823
8	236	25995
9	265	26312
10	293	26356
11	319	26310
12	347	26393
13	378	26668
14	411	26995
15	437	26904
16	465	26941
17	495	27022
18	519	26828
19	544	26673
20	569	26537
21	599	26642
22	625	26570
23	650	26468
24	677	26434
25	704	26395
26	730	26333
27	757	26287
28	781	26156
29	808	26132
30	831	25993
31	858	25961
32	883	25897
33	910	25863
34	937	25834
35	965	25845
36	989	25759
37	1015	25701
38	1043	25701
39	1069	25670
40	1096	25646
41	1123	25635
42	1150	25601
43	1176	25572
44	1201	25490
45	1227	25457
46	1253	25409
47	1280	25398
48	1306	25362
49	1332	25325
50	1359	25304
51	1387	25300
52	1413	25253
53	1441	25255
54	1466	25192
55	1493	25174
56	1518	25113
57	1541	25037
58	1567	25004
59	1592	24953
60	1619	24932
61	1646	24903
62	1672	24877
63	1700	24865
64	1725	24817
65	1751	24780
66	1777	24751
67	1801	24684
68	1826	24639
69	1851	24600
70	1876	24555
71	1900	24500
72	1925	24448
73	1953	24438
74	1979	24414
75	2001	24337
76	2027	24306
77	2054	24282
78	2079	24247
79	2106	24225
80	2132	24190
81	2158	24161
82	2182	24109
83	2207	24068
84	2232	24035
85	2257	23989
86	2283	23961
87	2309	23935
88	2334	23900
89	2360	23865
90	2384	23819
91	2411	23800
92	2438	23783
93	2464	23750
94	2490	23722
95	2514	23682
96	2538	23635
97	2562	23583
98	2588	23555
99	2615	23539
100	2641	23512
101	2668	23491
102	2695	23474
103	2718	23424
104	2743	23385
105	2769	23355
106	2793	23314
107	2818	23278
108	2845	23263
109	2872	23242
110	2897	23206
111	2923	23177
112	2947	23134
113	2972	23105
114	2997	23065
115	3023	23039
116	3049	23011
117	3074	22982
118	3099	22950
119	3127	22936
120	3156	22931
121	3181	22898
122	3208	22875
123	3235	22855
124	3259	22814
125	3283	22779
126	3310	22755
127	3336	22726
128	3360	22687
129	3386	22666
130	3412	22636
131	3439	22616
132	3464	22586
133	3488	22543
134	3512	22508
135	3538	22479
136	3562	22442
137	3587	22408
138	3611	22372
139	3636	22335
140	3661	22306
141	3686	22273
142	3709	22231
143	3735	22207
144	3762	22186
145	3787	22154
146	3811	22115
147	3837	22089
148	3862	22059
149	3887	22026
150	3914	22010
151	3940	21985
152	3967	21961
153	3993	21935
154	4018	21908
155	4044	21880
156	4069	21849
157	4093	21815
158	4119	21788
159	4143	21751
160	4171	21736
161	4194	21697
162	4219	21668
163	4245	21642
164	4271	21616
165	4295	21582
166	4323	21567
167	4348	21536
168	4374	21511
169	4399	21478
170	4422	21440
171	4445	21401
172	4471	21373
173	4495	21342
174	4522	21321
175	4547	21289
176	4573	21264
177	4598	21237
178	4622	21202
179	4648	21174
180	4673	21148
181	4697	21115
182	4721	21080
183	4747	21054
184	4774	21032
185	4801	21010
186	4826	20983
187	4850	20951
188	4876	20924
189	4901	20897
190	4928	20876
191	4954	20850
192	4979	20822
193	5005	20797
194	5030	20768
195	5055	20739
196	5082	20716
197	5109	20694
198	5136	20675
199	5161	20645
200	5187	20620
201	5217	20610
202	5242	20582
203	5269	20562
204	5295	20535
205	5333	20556
206	5361	20537
207	5387	20515
208	5417	20505
209	5442	20475
210	5468	20450
211	5494	20423
212	5520	20397
213	5544	20363
214	5570	20339
215	5597	20316
216	5621	20283
217	5649	20265
218	5676	20242
219	5705	20227
220	5729	20195
221	5753	20162
222	5779	20138
223	5804	20109
224	5830	20082
225	5853	20047
226	5879	20019
227	5903	19989
228	5930	19967
229	5956	19939
230	5979	19907
231	6003	19875
232	6029	19848
233	6053	19817
234	6078	19787
235	6101	19752
236	6128	19729
237	6156	19710
238	6183	19689
239	6223	19707
240	6247	19675
241	6275	19657
242	6301	19631
243	6329	19611
244	6355	19584
245	6379	19552
246	6405	19529
247	6430	19499
248	6457	19475
249	6481	19445
250	6507	19417
251	6534	19394
252	6559	19367
253	6584	19338
254	6608	19308
255	6633	19279
256	6658	19251
257	6684	19223
258	6709	19195
259	6733	19164
260	6758	19134
261	6781	19102
262	6807	19076
263	6831	19044
264	6854	19012
265	6880	18984
266	6904	18954
267	6929	18926
268	6954	18898
269	6978	18868
270	7004	18841
271	7028	18811
272	7056	18790
273	7080	18761
274	7107	18738
275	7133	18713
276	7158	18685
277	7185	18660
278	7214	18642
279	7238	18614
280	7263	18585
281	7286	18552
282	7311	18525
283	7335	18494
284	7361	18467
285	7386	18439
286	7410	18409
287	7435	18383
288	7462	18358
289	7487	18330
290	7511	18301
291	7538	18277
292	7563	18250
293	7588	18222
294	7613	18194
295	7636	18161
296	7661	18135
297	7686	18107
298	7713	18084
299	7739	18057
300	7764	18031
301	7788	18001
302	7814	17976
303	7839	17948
304	7866	17925
305	7890	17896
306	7918	17874
307	7944	17849
308	7972	17828
309	8001	17810
310	8027	17783
311	8053	17758
312	8079	17732
313	8104	17705
314	8129	17677
315	8154	17650
316	8180	17624
317	8203	17594
318	8228	17567
319	8254	17541
320	8280	17515
321	8309	17496
322	8334	17468
323	8365	17453
324	8391	17429
325	8419	17407
326	8448	17387
327	8474	17363
328	8501	17339
329	8532	17323
330	8558	17298
331	8588	17281
332	8615	17256
333	8640	17230
334	8667	17206
335	8695	17184
336	8722	17159
337	8752	17142
338	8775	17111
339	8803	17089
340	8831	17066
341	8856	17039
342	8883	17014
343	8906	16984
344	8932	16957
345	8955	16928
346	8981	16902
347	9006	16874
348	9031	16846
349	9054	16816
350	9079	16788
351	9105	16763
352	9130	16734
353	9155	16708
354	9181	16681
355	9206	16653
356	9230	16625
357	9259	16604
358	9286	16580
359	9310	16551
360	9335	16524
361	9361	16498
362	9387	16474
363	9412	16445
364	9438	16420
365	9465	16397
366	9489	16367
367	9515	16341
368	9544	16320
369	9572	16298
370	9598	16273
371	9625	16250
372	9652	16225
373	9678	16199
374	9702	16170
375	9728	16145
376	9753	16118
377	9780	16093
378	9804	16065
379	9828	16035
380	9852	16007
381	9877	15980
382	9904	15955
383	9927	15925
384	9953	15899
385	9977	15871
386	10004	15847
387	10031	15823
388	10055	15793
389	10078	15764
390	10105	15739
391	10130	15713
392	10156	15686
393	10181	15660
394	10207	15633
395	10231	15605
396	10257	15580
397	10282	15552
398	10309	15528
399	10333	15500
400	10360	15475
401	10386	15449
402	10412	15425
403	10437	15398
404	10462	15370
405	10488	15345
406	10516	15323
407	10542	15297
408	10568	15271
409	10595	15246
410	10623	15224
411	10647	15195
412	10672	15169
413	10697	15141
414	10722	15115
415	10750	15091
416	10778	15068
417	10806	15045
418	10830	15017
419	10859	14996
420	10886	14971
421	10914	14949
422	10941	14924
423	10968	14901
424	10996	14877
425	11025	14856
426	11048	14826
427	11074	14800
428	11098	14772
429	11122	14744
430	11147	14717
431	11173	14691
432	11199	14665
433	11222	14636
434	11249	14611
435	11275	14585
436	11299	14557
437	11323	14528
438	11348	14502
439	11372	14474
440	11399	14449
441	11423	14421
442	11447	14393
443	11475	14369
444	11500	14342
445	11525	14316
446	11550	14289
447	11577	14264
448	11602	14238
449	11628	14212
450	11653	14185
451	11678	14158
452	11705	14134
453	11730	14107
454	11758	14084
455	11786	14060
456	11811	14034
457	11838	14010
458	11865	13985
459	11894	13962
460	11919	13936
461	11944	13909
462	11969	13882
463	11994	13855
464	12020	13829
465	12046	13803
466	12075	13781
467	12100	13755
468	12126	13729
469	12151	13703
470	12180	13680
471	12208	13657
472	12234	13631
473	12262	13607
474	12286	13579
475	12312	13554
476	12337	13527
477	12363	13501
478	12390	13476
479	12414	13449
480	12440	13423
481	12464	13395
482	12489	13368
483	12514	13341
484	12539	13315
485	12564	13288
486	12591	13263
487	12616	13236
488	12643	13212
489	12667	13184
490	12689	13154
491	12712	13125
492	12737	13098
493	12762	13072
494	12789	13047
495	12812	13019
496	12839	12994
497	12865	12969
498	12893	12944
499	12917	12917
500	12944	12892
501	12970	12866
502	12995	12840
503	13019	12812
504	13046	12788
505	13072	12762
506	13099	12737
507	13126	12712
508	13152	12687
509	13180	12663
510	13205	12636
511	13229	12609
512	13254	12582
513	13278	12555
514	13306	12531
515	13331	12505
516	13355	12476
517	13381	12451
518	13406	12424
519	13432	12399
520	13458	12373
521	13483	12346
522	13508	12320
523	13535	12295
524	13560	12269
525	13583	12240
526	13610	12215
527	13638	12191
528	13663	12165
529	13688	12138
530	13714	12112
531	13739	12086
532	13766	12062
533	13792	12035
534	13821	12013
535	13848	11987
536	13871	11960
537	13896	11933
538	13921	11907
539	13945	11879
540	13969	11852
541	13996	11827
542	14021	11800
543	14047	11774
544	14074	11750
545	14100	11724
546	14126	11699
547	14152	11673
548	14178	11647
549	14202	11619
550	14227	11593
551	14251	11566
552	14277	11541
553	14305	11516
554	14329	11489
555	14355	11463
556	14381	11437
557	14406	11411
558	14430	11384
559	14455	11358
560	14481	11332
561	14507	11306
562	14533	11280
563	14559	11254
564	14586	11230
565	14611	11203
566	14637	11178
567	14663	11152
568	14688	11125
569	14713	11099
570	14740	11075
571	14767	11049
572	14793	11023
573	14821	10999
574	14847	10974
575	14874	10949
576	14899	10922
577	14925	10897
578	14950	10870
579	14976	10845
580	15002	10819
581	15028	10793
582	15054	10767
583	15081	10742
584	15105	10715
585	15130	10689
586	15155	10662
587	15179	10636
588	15203	10609
589	15230	10584
590	15255	10557
591	15280	10531
592	15305	10504
593	15331	10478
594	15358	10453
595	15381	10426
596	15408	10401
597	15433	10374
598	15458	10348
599	15482	10321
600	15508	10296
601	15534	10270
602	15559	10244
603	15584	10217
604	15611	10192
605	15634	10164
606	15658	10137
607	15685	10113
608	15713	10088
609	15740	10063
610	15765	10037
611	15790	10011
612	15817	9985
613	15842	9959
614	15870	9934
615	15894	9908
616	15921	9882
617	15947	9857
618	15970	9830
619	15998	9805
620	16025	9780
621	16050	9753
622	16075	9727
623	16102	9702
624	16128	9677
625	16152	9650
626	16178	9624
627	16203	9598
628	16227	9571
629	16253	9545
630	16279	9520
631	16305	9494
632	16331	9468
633	16357	9443
634	16384	9417
635	16409	9391
636	16434	9365
637	16460	9339
638	16483	9312
639	16511	9287
640	16536	9261
641	16562	9235
642	16588	9209
643	16613	9183
644	16640	9158
645	16666	9133
646	16691	9106
647	16716	9080
648	16744	9055
649	16770	9030
650	16797	9004
651	16822	8978
652	16848	8953
653	16876	8928
654	16904	8903
655	16928	8877
656	16953	8850
657	16980	8825
658	17004	8799
659	17030	8773
660	17056	8747
661	17081	8721
662	17108	8696
663	17134	8670
664	17160	8645
665	17189	8620
666	17214	8594
667	17239	8568
668	17263	8541
669	17288	8515
670	17315	8490
671	17341	8464
672	17365	8437
673	17392	8412
674	17419	8387
675	17443	8360
676	17468	8334
677	17495	8309
678	17520	8282
679	17546	8257
680	17571	8231
681	17598	8205
682	17622	8179
683	17646	8152
684	17673	8127
685	17697	8100
686	17724	8075
687	17750	8049
688	17778	8024
689	17802	7998
690	17827	7971
691	17851	7945
692	17877	7919
693	17902	7893
694	17928	7867
695	17951	7840
696	17974	7814
697	17997	7786
698	18024	7761
699	18050	7735
700	18074	7709
701	18100	7683
702	18124	7657
703	18149	7631
704	18175	7605
705	18199	7578
706	18225	7553
707	18250	7527
708	18276	7501
709	18307	7477
710	18334	7452
711	18359	7426
712	18386	7400
713	18412	7375
714	18438	7349
715	18464	7323
716	18490	7298
717	18514	7271
718	18539	7245
719	18565	7219
720	18592	7194
721	18618	7168
722	18643	7142
723	18670	7117
724	18696	7091
